ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,padj HD,padj H_LF,padj H_HF,padj D_LF,padj D_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,t HD,t H_LF,t H_HF,t D_LF,t D_HF,t_HF_LF,ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,t HD,t H_LF,t H_HF,t D_LF,t D_HF,t_HF_LF
rFEF,rPCM,0.13517296793319236,0.1372029985542777,0.13517927639012678,0.13264932628907078,0.1128301167583462,0.12306053156705289,0.11290473782353073,0.11092169485393324,1.0,1.0,1.0,1.0,1.0,1.0,-0.01718764267118471,-0.03885328484866637,-0.017129056151775145,0.022546432211841223,-5.586721172634541e-05,-0.022595192077120067,-0.4030859502956922,-0.911190297875468,-0.40171197462593305,0.5287607048710534,-0.0013102022516932141,-0.5299042250738073,rFEF,rPCM,0.13517296793319236,0.1372029985542777,0.13517927639012678,0.13264932628907078,0.1128301167583462,0.12306053156705289,0.11290473782353073,0.11092169485393324,0.6869241994473505,0.3622950321948861,0.6879350650680979,0.5970248474267876,0.9989547290467005,0.59623185766202,-0.01718764267118471,-0.03885328484866637,-0.017129056151775145,0.022546432211841223,-5.586721172634541e-05,-0.022595192077120067,-0.4030859502956922,-0.911190297875468,-0.40171197462593305,0.5287607048710534,-0.0013102022516932141,-0.5299042250738073
rFEF,rPCM,0.13517296793319236,0.1372029985542777,0.13517927639012678,0.13264932628907078,0.1128301167583462,0.12306053156705289,0.11290473782353073,0.11092169485393324,1.0,1.0,1.0,1.0,1.0,1.0,-0.01718764267118471,-0.03885328484866637,-0.017129056151775145,0.022546432211841223,-5.586721172634541e-05,-0.022595192077120067,-0.4030859502956922,-0.911190297875468,-0.40171197462593305,0.5287607048710534,-0.0013102022516932141,-0.5299042250738073,rFEF,rPCM,0.13517296793319236,0.1372029985542777,0.13517927639012678,0.13264932628907078,0.1128301167583462,0.12306053156705289,0.11290473782353073,0.11092169485393324,0.6869241994473505,0.3622950321948861,0.6879350650680979,0.5970248474267876,0.9989547290467005,0.59623185766202,-0.01718764267118471,-0.03885328484866637,-0.017129056151775145,0.022546432211841223,-5.586721172634541e-05,-0.022595192077120067,-0.4030859502956922,-0.911190297875468,-0.40171197462593305,0.5287607048710534,-0.0013102022516932141,-0.5299042250738073
rFEF,rPCS,0.13943087288750494,0.14032131108177048,0.13941645629936933,0.1384832684067645,0.11198599042853262,0.12167296856500857,0.11197729033573124,0.11238505867270561,1.0,1.0,1.0,1.0,1.0,1.0,-0.007611687351841264,-0.01568638549686368,-0.007735199529816488,0.00844290882557076,0.00012868210887932545,-0.008314782613428256,-0.17850989156962468,-0.3678783487457754,-0.1814065089001502,0.1980037630710471,0.0030178629574745134,-0.19499893704764867,rFEF,rPCS,0.13943087288750494,0.14032131108177048,0.13941645629936933,0.1384832684067645,0.11198599042853262,0.12167296856500857,0.11197729033573124,0.11238505867270561,0.8583390046368319,0.7129993664510877,0.8560652364188587,0.8430604295227223,0.9975923712549583,0.8454118020507209,-0.007611687351841264,-0.01568638549686368,-0.007735199529816488,0.00844290882557076,0.00012868210887932545,-0.008314782613428256,-0.17850989156962468,-0.3678783487457754,-0.1814065089001502,0.1980037630710471,0.0030178629574745134,-0.19499893704764867
rFEF,rPFCCL,0.14612351457428055,0.1500760908140016,0.14611050234181858,0.14633068176933672,0.1186319485442298,0.12474337793004804,0.11860958906176172,0.11845121692503169,1.0,1.0,1.0,1.0,1.0,1.0,-0.0324563235930446,-0.030777442186110917,-0.03256608750907639,-0.0017468380444551315,0.00010964619888646356,0.0018567326908046147,-0.7611682584337269,-0.7217949993839456,-0.7637424504418041,-0.04096698346785745,0.0025714312963090137,0.04354424137364664,rFEF,rPFCCL,0.14612351457428055,0.1500760908140016,0.14611050234181858,0.14633068176933672,0.1186319485442298,0.12474337793004804,0.11860958906176172,0.11845121692503169,0.44663822690609245,0.4704972998587984,0.44510270916159855,0.9673259378371161,0.9979485302785469,0.9652716536424163,-0.0324563235930446,-0.030777442186110917,-0.03256608750907639,-0.0017468380444551315,0.00010964619888646356,0.0018567326908046147,-0.7611682584337269,-0.7217949993839456,-0.7637424504418041,-0.04096698346785745,0.0025714312963090137,0.04354424137364664
rFEF,rPFCDL,0.14504354394492466,0.13338559989232368,0.14439734271203314,0.16105024578191052,0.1258915370539025,0.11138666151293815,0.12595770073268345,0.14231853141012035,1.0,0.00015906301925824664,1.0,1.0,1.0,1.0,0.09803624824061401,0.21638353093323082,0.09257479414025307,-0.11908203468068969,0.005129318013101511,0.12386087548529764,2.2991538189086893,5.074643618277332,2.1710713669892634,-2.792721260890735,0.12029317022898764,2.9047950120088375,rFEF,rPFCDL,0.14504354394492466,0.13338559989232368,0.14439734271203314,0.16105024578191052,0.1258915370539025,0.11138666151293815,0.12595770073268345,0.14231853141012035,0.021589579827257493,4.2080163824932973e-07,0.03003245929541351,0.005271921588000644,0.9042619084436119,0.003711638467708846,0.09803624824061401,0.21638353093323082,0.09257479414025307,-0.11908203468068969,0.005129318013101511,0.12386087548529764,2.2991538189086893,5.074643618277332,2.1710713669892634,-2.792721260890735,0.12029317022898764,2.9047950120088375
rFEF,rPFCDM,0.13632779673733603,0.14435511935607767,0.13634145016179083,0.1364103953271694,0.11473426305964735,0.11871033786930878,0.1147514466745121,0.11450137791198568,1.0,1.0,1.0,1.0,1.0,1.0,-0.0687315912249538,-0.06809108158365429,-0.06860972476435888,-0.0007203155105176857,-0.00011893740067050977,0.000601203310514387,-1.6118986933963249,-1.5968774108169745,-1.6090406715594834,-0.01689289611288706,-0.0027893292926869638,0.014099467412473499,rFEF,rPFCDM,0.13632779673733603,0.14435511935607767,0.13634145016179083,0.1364103953271694,0.11473426305964735,0.11871033786930878,0.1147514466745121,0.11450137791198568,0.1071275545097199,0.1104367829009199,0.10775105466243741,0.9865235932225274,0.9977746932298768,0.9887519049550919,-0.0687315912249538,-0.06809108158365429,-0.06860972476435888,-0.0007203155105176857,-0.00011893740067050977,0.000601203310514387,-1.6118986933963249,-1.5968774108169745,-1.6090406715594834,-0.01689289611288706,-0.0027893292926869638,0.014099467412473499
rFEF,rPFCM,0.12724145331936773,0.1320357638575434,0.12741041821074398,0.1264108942416925,0.1091689578635632,0.1165658451691963,0.10921641660431615,0.10823866537467496,1.0,1.0,1.0,1.0,1.0,1.0,-0.04243528294423591,-0.049985287561836816,-0.04093142955303021,0.007637026267882194,-0.0015466976038429755,-0.00918865108708025,-0.9951955994710526,-1.1722589026967274,-0.9599271112381769,0.17910414182530077,-0.03627327408373114,-0.21549296935179946,rFEF,rPFCM,0.12724145331936773,0.1320357638575434,0.12741041821074398,0.1264108942416925,0.1091689578635632,0.1165658451691963,0.10921641660431615,0.10823866537467496,0.31975068581420707,0.2412201650884952,0.33719748026297836,0.8578724373261527,0.9710677539217591,0.8294029864823491,-0.04243528294423591,-0.049985287561836816,-0.04093142955303021,0.007637026267882194,-0.0015466976038429755,-0.00918865108708025,-0.9951955994710526,-1.1722589026967274,-0.9599271112381769,0.17910414182530077,-0.03627327408373114,-0.21549296935179946
rFEF,rPFCORB,0.1310070192844917,0.12419056100401207,0.1310147164023757,0.13552818143194456,0.1166638794087575,0.10708910581669252,0.11668933327158709,0.11773977030933129,1.0,1.0,1.0,1.0,1.0,1.0,0.06084503996505575,0.10069677481412355,0.06090653365035458,-0.03855792356561541,-6.593968228999385e-05,0.0384881196927497,1.4269426717959195,2.3615486977577804,1.4283848265491959,-0.9042634617911485,-0.0015464226250536852,0.9026264158642183,rFEF,rPFCORB,0.1310070192844917,0.12419056100401207,0.1310147164023757,0.13552818143194456,0.1166638794087575,0.10708910581669252,0.11668933327158709,0.11773977030933129,0.1537384532079718,0.018285557614663144,0.15332320122573587,0.3659548137787525,0.9987662740866691,0.3668231050799021,0.06084503996505575,0.10069677481412355,0.06090653365035458,-0.03855792356561541,-6.593968228999385e-05,0.0384881196927497,1.4269426717959195,2.3615486977577804,1.4283848265491959,-0.9042634617911485,-0.0015464226250536852,0.9026264158642183
rFEF,rTCC,0.15212974240007135,0.1419862392227609,0.1521316707501136,0.15137279683545513,0.130805518418015,0.11910677349129353,0.13082910832658196,0.13149243046146833,1.0,1.0,1.0,1.0,1.0,1.0,0.0810508429014863,0.07478756151324704,0.08105825893234134,0.005769002990589263,-1.4734084217815974e-05,-0.005783180992230694,1.900810754460522,1.7539237858024905,1.9009846758005104,0.13529511272764183,-0.00034554490410904857,-0.13562761633935072,rFEF,rTCC,0.15212974240007135,0.1419862392227609,0.1521316707501136,0.15137279683545513,0.130805518418015,0.11910677349129353,0.13082910832658196,0.13149243046146833,0.05745750126664812,0.07958292476763427,0.05743470369279079,0.8923909373495863,0.9997243264182665,0.8921280917991784,0.0810508429014863,0.07478756151324704,0.08105825893234134,0.005769002990589263,-1.4734084217815974e-05,-0.005783180992230694,1.900810754460522,1.7539237858024905,1.9009846758005104,0.13529511272764183,-0.00034554490410904857,-0.13562761633935072
rFEF,rTCI,0.13607317767301724,0.13266772964319296,0.1360779537333814,0.13603845993454386,0.1224326456016842,0.13004862499910294,0.12244714190963046,0.12214972641617305,1.0,1.0,1.0,1.0,1.0,1.0,0.026951323497077868,0.02670553930991995,0.02698762064581091,0.0002837647749682753,-3.89896526305706e-05,-0.0003227826596183223,0.6320645623939677,0.6263004122691632,0.6329158059862381,0.006654873862969737,-0.0009143884058423468,-0.007569924368357502,rFEF,rTCI,0.13607317767301724,0.13266772964319296,0.1360779537333814,0.13603845993454386,0.1224326456016842,0.13004862499910294,0.12244714190963046,0.12214972641617305,0.5274104262004615,0.5311829501934023,0.5268544649993827,0.994690822000169,0.9992705066872275,0.9939608188649359,0.026951323497077868,0.02670553930991995,0.02698762064581091,0.0002837647749682753,-3.89896526305706e-05,-0.0003227826596183223,0.6320645623939677,0.6263004122691632,0.6329158059862381,0.006654873862969737,-0.0009143884058423468,-0.007569924368357502
